split_id,method_id,run_id,prompt_id,prompt_name,order,gallery_index,image_id,caption
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,0,0,flickr30k_test_028282,"A handball player in a green jersey leaps dynamically to throw the ball, his body stretched in mid-air as a defender in black and yellow attempts to block him. The intense action unfolds on a polished indoor court, capturing the athleticism and competitive spirit of the sport."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,1,1,flickr30k_test_027821,"A determined female runner, Mary, competes in a marathon, her focused expression and athletic gear reflecting the intensity of the race as spectators watch from the sidelines."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,2,2,flickr30k_test_001853,"A couple strolls along the sandy beach, enjoying the ocean waves and seagulls, with seaweed scattered across the shore under a clear sky."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,3,3,flickr30k_test_003001,"A breakdancer in a red shirt and camouflage shorts executes a dynamic floor move, showcasing agility and style on a concrete surface."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,4,4,flickr30k_test_002781,"A crowd of concertgoers dances and captures the moment under vibrant green stage lights, their energy pulsing with the music."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,5,5,flickr30k_test_011831,"Silhouetted climbers stand atop a mountain peak, gazing at the radiant sun piercing through a sea of clouds below."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,6,6,flickr30k_test_027377,"A singer with long blonde hair performs on stage, strumming an acoustic guitar and singing into a microphone, illuminated by dramatic blue lighting and glowing orb decorations."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,7,7,flickr30k_test_005540,"A group of people in matching red shirts march together in a street demonstration, umbrellas in hand and determination in their steps."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,8,8,flickr30k_test_024116,"An elderly man carefully writes on a stone pavement while a young girl in a colorful dress watches curiously, capturing a moment of cultural tradition and intergenerational connection in a serene park setting."
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,9,9,flickr30k_test_026508,"A graceful rhythmic gymnast leaps through the air, wielding a vibrant pink ribbon in a dazzling performance, her colorful costume and dynamic pose capturing the elegance and athleticism of the sport."
