image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,safe_semantic_retrieval,0.3613067269325256,0.3434661626815796,0.01784056425094599,"A man in a sports jersey holding a megaphone and a black umbrella, standing under a directional signpost with distance markers to various cities, in front of a brick building with ivy."
8484,supported_activity_caption,0.3258588016033172,0.2797788381576538,0.0460799634456634,"The image depicts a busy scene inside a supermarket aisle, with multiple shoppers moving through the space. The visible evidence for this activity includes:

- **Subjects**: A diverse group of people, including men and women of various ages, are present. One man in the foreground, wearing a dark suit jacket over a white shirt,"
12623,balanced_visual_semantic,0.358765035867691,0.3427976071834564,0.015967428684234564,"A black bull with large, curved horns bursts from a yellow metal chute, kicking up dust as it charges forward, while a rider in a cowboy hat and plaid shirt clings to its back, surrounded by spectators in cowboy hats and casual attire."
13268,object_relation_scene,0.4020699858665466,0.3698818981647491,0.032188087701797485,"A young boy in a Revolutionary War-style costume holds a rifle while being assisted by another child adjusting his hat, set against a backdrop of a historical reenactment event with adults and military gear on display."
13781,visible_evidence_caption,0.3496087193489074,0.3043276369571686,0.045281082391738836,"A group of friends gathers around a cluttered dining table, sharing a meal in a casual home setting. Visible actions include one woman pouring a beverage from a pitcher into a glass, another woman eating with a fork, and a man laughing while holding his phone. Important objects on the table include plates with food remnants, a"
15922,avoid_generic_with_support,0.3326341211795807,0.3000148236751556,0.032619297504425104,"A man with short dark hair and a beard, wearing a green short-sleeved shirt and dark shorts, is seated in the driver’s seat of a red, open-frame dune buggy or go-kart. He is smiling broadly and looking toward the camera, with his right hand on the steering wheel and his left"
16753,caption_like_human_observer,0.3613135516643524,0.3234077095985412,0.03790584206581121,"A smiling Black woman stands in an office or medical facility, wearing a light yellow, oversized plastic gown covered in handwritten signatures and drawings. Her arms are spread wide, displaying the decorated garment. The setting includes typical office furniture like filing cabinets, a desk, and a framed picture on the wall, suggesting a workplace environment."
24836,specific_scene_without_overdetail,0.3651986718177795,0.3175976574420929,0.04760101437568659,"A woman in a black top and shorts sits on a stone ledge, talking on her phone, while a group of people in blue scrubs gather nearby."
27670,visible_evidence_caption,0.380252480506897,0.3370434939861297,0.04320898652076727,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto the grates of a black charcoal grill in a grassy backyard. The grill lid rests nearby on the grass, and the person’s hands are actively positioning the patties for cooking. The scene depicts a routine outdoor cooking activity."
29171,central_subject_or_scene_anchor,0.3385786414146423,0.3007171750068664,0.03786146640777588,"The image is centered on a main subject — a golfer in mid-swing — making it a dynamic, action-focused shot.

Caption:  
Mid-swing at Pebble Beach: A golfer in a navy top and khaki pants powers through his drive, club arcing high against the backdrop of towering pines"
