split_id,method_id,run_id,prompt_id,prompt_name,order,dataset_index,image_id,image_relpath,caption,source_gallery_index,hardest_negative_gallery_index,hardest_negative_image_id,positive_score,hardest_negative_score,margin,rank,hit@1,hit@5,hit@10,reciprocal_rank,prompt_text,model,scorer
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,0,28282,flickr30k_test_028282,images/flickr30k/flickr30k_test_028282.jpg,"A handball player in a green jersey leaps dynamically to throw the ball, his body stretched in mid-air as a defender in black and yellow attempts to block him. The intense action unfolds on a polished indoor court, capturing the athleticism and competitive spirit of the sport.",0,1606,flickr30k_test_013336,0.19383537769317627,0.061388082802295685,0.13244729489088058,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,1,27821,flickr30k_test_027821,images/flickr30k/flickr30k_test_027821.jpg,"A determined female runner, Mary, competes in a marathon, her focused expression and athletic gear reflecting the intensity of the race as spectators watch from the sidelines.",1,545,flickr30k_test_023555,0.22713394463062286,0.14562740921974182,0.08150653541088104,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,2,1853,flickr30k_test_001853,images/flickr30k/flickr30k_test_001853.jpg,"A couple strolls along the sandy beach, enjoying the ocean waves and seagulls, with seaweed scattered across the shore under a clear sky.",2,1164,flickr30k_test_006591,0.16148805618286133,0.11068065464496613,0.0508074015378952,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,3,3001,flickr30k_test_003001,images/flickr30k/flickr30k_test_003001.jpg,"A breakdancer in a red shirt and camouflage shorts executes a dynamic floor move, showcasing agility and style on a concrete surface.",3,343,flickr30k_test_012451,0.17550848424434662,0.06789755821228027,0.10761092603206635,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,4,2781,flickr30k_test_002781,images/flickr30k/flickr30k_test_002781.jpg,"A crowd of concertgoers dances and captures the moment under vibrant green stage lights, their energy pulsing with the music.",4,638,flickr30k_test_015305,0.17597666382789612,0.12974421679973602,0.046232447028160095,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,5,11831,flickr30k_test_011831,images/flickr30k/flickr30k_test_011831.jpg,"Silhouetted climbers stand atop a mountain peak, gazing at the radiant sun piercing through a sea of clouds below.",5,157,flickr30k_test_029741,0.209051251411438,0.08659709244966507,0.12245415896177292,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,6,27377,flickr30k_test_027377,images/flickr30k/flickr30k_test_027377.jpg,"A singer with long blonde hair performs on stage, strumming an acoustic guitar and singing into a microphone, illuminated by dramatic blue lighting and glowing orb decorations.",6,1929,flickr30k_test_028272,0.19225460290908813,0.1312715709209442,0.06098303198814392,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,7,5540,flickr30k_test_005540,images/flickr30k/flickr30k_test_005540.jpg,"A group of people in matching red shirts march together in a street demonstration, umbrellas in hand and determination in their steps.",7,991,flickr30k_test_015776,0.17996637523174286,0.12790603935718536,0.052060335874557495,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,8,24116,flickr30k_test_024116,images/flickr30k/flickr30k_test_024116.jpg,"An elderly man carefully writes on a stone pavement while a young girl in a colorful dress watches curiously, capturing a moment of cultural tradition and intergenerational connection in a serene park setting.",8,89,flickr30k_test_008188,0.25184905529022217,0.14388950169086456,0.1079595535993576,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
flickr30k_retrieval_2000_seed2,qwen_prompt,qwen_prompt__flickr30k_retrieval_2000_seed2,baseline,Baseline,9,26508,flickr30k_test_026508,images/flickr30k/flickr30k_test_026508.jpg,"A graceful rhythmic gymnast leaps through the air, wielding a vibrant pink ribbon in a dazzling performance, her colorful costume and dynamic pose capturing the elegance and athleticism of the sport.",9,303,flickr30k_test_019373,0.17180080711841583,0.0630970150232315,0.10870379209518433,1,1,1,1,1.0,Write a caption for this image.,Qwen/Qwen3-VL-8B-Instruct,siglip
