split_id,order,gallery_index,image_id,image_relpath,image_path
flickr30k_retrieval_1000_seed2_head,0,0,flickr30k_test_028282,images/flickr30k/flickr30k_test_028282.jpg,data/images/flickr30k/flickr30k_test_028282.jpg
flickr30k_retrieval_1000_seed2_head,1,1,flickr30k_test_027821,images/flickr30k/flickr30k_test_027821.jpg,data/images/flickr30k/flickr30k_test_027821.jpg
flickr30k_retrieval_1000_seed2_head,2,2,flickr30k_test_001853,images/flickr30k/flickr30k_test_001853.jpg,data/images/flickr30k/flickr30k_test_001853.jpg
flickr30k_retrieval_1000_seed2_head,3,3,flickr30k_test_003001,images/flickr30k/flickr30k_test_003001.jpg,data/images/flickr30k/flickr30k_test_003001.jpg
flickr30k_retrieval_1000_seed2_head,4,4,flickr30k_test_002781,images/flickr30k/flickr30k_test_002781.jpg,data/images/flickr30k/flickr30k_test_002781.jpg
flickr30k_retrieval_1000_seed2_head,5,5,flickr30k_test_011831,images/flickr30k/flickr30k_test_011831.jpg,data/images/flickr30k/flickr30k_test_011831.jpg
flickr30k_retrieval_1000_seed2_head,6,6,flickr30k_test_027377,images/flickr30k/flickr30k_test_027377.jpg,data/images/flickr30k/flickr30k_test_027377.jpg
flickr30k_retrieval_1000_seed2_head,7,7,flickr30k_test_005540,images/flickr30k/flickr30k_test_005540.jpg,data/images/flickr30k/flickr30k_test_005540.jpg
flickr30k_retrieval_1000_seed2_head,8,8,flickr30k_test_024116,images/flickr30k/flickr30k_test_024116.jpg,data/images/flickr30k/flickr30k_test_024116.jpg
flickr30k_retrieval_1000_seed2_head,9,9,flickr30k_test_026508,images/flickr30k/flickr30k_test_026508.jpg,data/images/flickr30k/flickr30k_test_026508.jpg
flickr30k_retrieval_1000_seed2_head,10,10,flickr30k_test_021945,images/flickr30k/flickr30k_test_021945.jpg,data/images/flickr30k/flickr30k_test_021945.jpg
flickr30k_retrieval_1000_seed2_head,11,11,flickr30k_test_027978,images/flickr30k/flickr30k_test_027978.jpg,data/images/flickr30k/flickr30k_test_027978.jpg
flickr30k_retrieval_1000_seed2_head,12,12,flickr30k_test_010097,images/flickr30k/flickr30k_test_010097.jpg,data/images/flickr30k/flickr30k_test_010097.jpg
flickr30k_retrieval_1000_seed2_head,13,13,flickr30k_test_008243,images/flickr30k/flickr30k_test_008243.jpg,data/images/flickr30k/flickr30k_test_008243.jpg
flickr30k_retrieval_1000_seed2_head,14,14,flickr30k_test_019855,images/flickr30k/flickr30k_test_019855.jpg,data/images/flickr30k/flickr30k_test_019855.jpg
flickr30k_retrieval_1000_seed2_head,15,15,flickr30k_test_006953,images/flickr30k/flickr30k_test_006953.jpg,data/images/flickr30k/flickr30k_test_006953.jpg
flickr30k_retrieval_1000_seed2_head,16,16,flickr30k_test_019883,images/flickr30k/flickr30k_test_019883.jpg,data/images/flickr30k/flickr30k_test_019883.jpg
flickr30k_retrieval_1000_seed2_head,17,17,flickr30k_test_001170,images/flickr30k/flickr30k_test_001170.jpg,data/images/flickr30k/flickr30k_test_001170.jpg
flickr30k_retrieval_1000_seed2_head,18,18,flickr30k_test_019044,images/flickr30k/flickr30k_test_019044.jpg,data/images/flickr30k/flickr30k_test_019044.jpg
flickr30k_retrieval_1000_seed2_head,19,19,flickr30k_test_022323,images/flickr30k/flickr30k_test_022323.jpg,data/images/flickr30k/flickr30k_test_022323.jpg
flickr30k_retrieval_1000_seed2_head,20,20,flickr30k_test_005189,images/flickr30k/flickr30k_test_005189.jpg,data/images/flickr30k/flickr30k_test_005189.jpg
flickr30k_retrieval_1000_seed2_head,21,21,flickr30k_test_014112,images/flickr30k/flickr30k_test_014112.jpg,data/images/flickr30k/flickr30k_test_014112.jpg
flickr30k_retrieval_1000_seed2_head,22,22,flickr30k_test_020921,images/flickr30k/flickr30k_test_020921.jpg,data/images/flickr30k/flickr30k_test_020921.jpg
flickr30k_retrieval_1000_seed2_head,23,23,flickr30k_test_012895,images/flickr30k/flickr30k_test_012895.jpg,data/images/flickr30k/flickr30k_test_012895.jpg
flickr30k_retrieval_1000_seed2_head,24,24,flickr30k_test_026334,images/flickr30k/flickr30k_test_026334.jpg,data/images/flickr30k/flickr30k_test_026334.jpg
flickr30k_retrieval_1000_seed2_head,25,25,flickr30k_test_023691,images/flickr30k/flickr30k_test_023691.jpg,data/images/flickr30k/flickr30k_test_023691.jpg
flickr30k_retrieval_1000_seed2_head,26,26,flickr30k_test_028188,images/flickr30k/flickr30k_test_028188.jpg,data/images/flickr30k/flickr30k_test_028188.jpg
flickr30k_retrieval_1000_seed2_head,27,27,flickr30k_test_016681,images/flickr30k/flickr30k_test_016681.jpg,data/images/flickr30k/flickr30k_test_016681.jpg
flickr30k_retrieval_1000_seed2_head,28,28,flickr30k_test_012191,images/flickr30k/flickr30k_test_012191.jpg,data/images/flickr30k/flickr30k_test_012191.jpg
flickr30k_retrieval_1000_seed2_head,29,29,flickr30k_test_017831,images/flickr30k/flickr30k_test_017831.jpg,data/images/flickr30k/flickr30k_test_017831.jpg
flickr30k_retrieval_1000_seed2_head,30,30,flickr30k_test_030661,images/flickr30k/flickr30k_test_030661.jpg,data/images/flickr30k/flickr30k_test_030661.jpg
flickr30k_retrieval_1000_seed2_head,31,31,flickr30k_test_014576,images/flickr30k/flickr30k_test_014576.jpg,data/images/flickr30k/flickr30k_test_014576.jpg
flickr30k_retrieval_1000_seed2_head,32,32,flickr30k_test_016451,images/flickr30k/flickr30k_test_016451.jpg,data/images/flickr30k/flickr30k_test_016451.jpg
flickr30k_retrieval_1000_seed2_head,33,33,flickr30k_test_008789,images/flickr30k/flickr30k_test_008789.jpg,data/images/flickr30k/flickr30k_test_008789.jpg
flickr30k_retrieval_1000_seed2_head,34,34,flickr30k_test_029530,images/flickr30k/flickr30k_test_029530.jpg,data/images/flickr30k/flickr30k_test_029530.jpg
flickr30k_retrieval_1000_seed2_head,35,35,flickr30k_test_001177,images/flickr30k/flickr30k_test_001177.jpg,data/images/flickr30k/flickr30k_test_001177.jpg
flickr30k_retrieval_1000_seed2_head,36,36,flickr30k_test_028542,images/flickr30k/flickr30k_test_028542.jpg,data/images/flickr30k/flickr30k_test_028542.jpg
flickr30k_retrieval_1000_seed2_head,37,37,flickr30k_test_000899,images/flickr30k/flickr30k_test_000899.jpg,data/images/flickr30k/flickr30k_test_000899.jpg
flickr30k_retrieval_1000_seed2_head,38,38,flickr30k_test_011928,images/flickr30k/flickr30k_test_011928.jpg,data/images/flickr30k/flickr30k_test_011928.jpg
flickr30k_retrieval_1000_seed2_head,39,39,flickr30k_test_015233,images/flickr30k/flickr30k_test_015233.jpg,data/images/flickr30k/flickr30k_test_015233.jpg
flickr30k_retrieval_1000_seed2_head,40,40,flickr30k_test_030534,images/flickr30k/flickr30k_test_030534.jpg,data/images/flickr30k/flickr30k_test_030534.jpg
flickr30k_retrieval_1000_seed2_head,41,41,flickr30k_test_010435,images/flickr30k/flickr30k_test_010435.jpg,data/images/flickr30k/flickr30k_test_010435.jpg
flickr30k_retrieval_1000_seed2_head,42,42,flickr30k_test_029745,images/flickr30k/flickr30k_test_029745.jpg,data/images/flickr30k/flickr30k_test_029745.jpg
flickr30k_retrieval_1000_seed2_head,43,43,flickr30k_test_012452,images/flickr30k/flickr30k_test_012452.jpg,data/images/flickr30k/flickr30k_test_012452.jpg
flickr30k_retrieval_1000_seed2_head,44,44,flickr30k_test_013880,images/flickr30k/flickr30k_test_013880.jpg,data/images/flickr30k/flickr30k_test_013880.jpg
flickr30k_retrieval_1000_seed2_head,45,45,flickr30k_test_029222,images/flickr30k/flickr30k_test_029222.jpg,data/images/flickr30k/flickr30k_test_029222.jpg
flickr30k_retrieval_1000_seed2_head,46,46,flickr30k_test_028969,images/flickr30k/flickr30k_test_028969.jpg,data/images/flickr30k/flickr30k_test_028969.jpg
flickr30k_retrieval_1000_seed2_head,47,47,flickr30k_test_017227,images/flickr30k/flickr30k_test_017227.jpg,data/images/flickr30k/flickr30k_test_017227.jpg
flickr30k_retrieval_1000_seed2_head,48,48,flickr30k_test_005389,images/flickr30k/flickr30k_test_005389.jpg,data/images/flickr30k/flickr30k_test_005389.jpg
flickr30k_retrieval_1000_seed2_head,49,49,flickr30k_test_018366,images/flickr30k/flickr30k_test_018366.jpg,data/images/flickr30k/flickr30k_test_018366.jpg
flickr30k_retrieval_1000_seed2_head,50,50,flickr30k_test_005814,images/flickr30k/flickr30k_test_005814.jpg,data/images/flickr30k/flickr30k_test_005814.jpg
flickr30k_retrieval_1000_seed2_head,51,51,flickr30k_test_007737,images/flickr30k/flickr30k_test_007737.jpg,data/images/flickr30k/flickr30k_test_007737.jpg
flickr30k_retrieval_1000_seed2_head,52,52,flickr30k_test_007556,images/flickr30k/flickr30k_test_007556.jpg,data/images/flickr30k/flickr30k_test_007556.jpg
flickr30k_retrieval_1000_seed2_head,53,53,flickr30k_test_000781,images/flickr30k/flickr30k_test_000781.jpg,data/images/flickr30k/flickr30k_test_000781.jpg
flickr30k_retrieval_1000_seed2_head,54,54,flickr30k_test_005790,images/flickr30k/flickr30k_test_005790.jpg,data/images/flickr30k/flickr30k_test_005790.jpg
flickr30k_retrieval_1000_seed2_head,55,55,flickr30k_test_010654,images/flickr30k/flickr30k_test_010654.jpg,data/images/flickr30k/flickr30k_test_010654.jpg
flickr30k_retrieval_1000_seed2_head,56,56,flickr30k_test_005688,images/flickr30k/flickr30k_test_005688.jpg,data/images/flickr30k/flickr30k_test_005688.jpg
flickr30k_retrieval_1000_seed2_head,57,57,flickr30k_test_004479,images/flickr30k/flickr30k_test_004479.jpg,data/images/flickr30k/flickr30k_test_004479.jpg
flickr30k_retrieval_1000_seed2_head,58,58,flickr30k_test_016717,images/flickr30k/flickr30k_test_016717.jpg,data/images/flickr30k/flickr30k_test_016717.jpg
flickr30k_retrieval_1000_seed2_head,59,59,flickr30k_test_016719,images/flickr30k/flickr30k_test_016719.jpg,data/images/flickr30k/flickr30k_test_016719.jpg
flickr30k_retrieval_1000_seed2_head,60,60,flickr30k_test_011786,images/flickr30k/flickr30k_test_011786.jpg,data/images/flickr30k/flickr30k_test_011786.jpg
