prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
caption_like_human_observer,Caption like human observer,0.3387895107269287,0.01688621044158937,0.8,0.20104431807994844,0.009400637447834034,0.5,51.2,0.3
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.013658139109611538,0.8,0.1970510095357895,0.005407328903675121,0.7,39.7,0.1
main_subject_first,Main subject first,0.33344400227069854,0.01154070198535922,0.9,0.2000991702079773,0.008455489575862927,0.8,32.2,0.1
observer_identifying_details,Observer identifying details,0.3325025409460068,0.010599240660667447,0.7,0.1991693913936615,0.007525710761547131,0.5,50.1,0.1
observer_distinctive_but_safe,Observer distinctive but safe,0.3313601970672607,0.009456896781921414,0.6,0.19474211633205413,0.0030984356999397694,0.5,34.6,0.1
important_visual_elements,Important visual elements,0.3288380324840546,0.006934732198715238,0.7,0.18966859132051467,-0.00197508931159969,0.6,38.2,0.1
observer_grounded_scene_caption,Observer grounded scene caption,0.3283855885267258,0.006482288241386441,0.6,0.18598310351371766,-0.005660577118396718,0.4,40.2,0.1
specific_supported_caption,Specific supported caption,0.3269387513399124,0.005035451054573087,0.6,0.1925265982747078,0.0008829176425934254,0.6,35.5,0.1
not_generic_not_overdetailed,Not generic not overdetailed,0.32627829909324646,0.004374998807907132,0.8,0.19703540951013565,0.005391728878021282,0.6,31.5,0.1
human_observer_retrieval_light,Human observer retrieval light,0.3245492815971375,0.0026459813117981233,0.6,0.18844425231218337,-0.0031994283199309886,0.4,40.6,0.1
observer_three_part,Observer three-part,0.3234050005674362,0.0015017002820968905,0.5,0.18825984075665475,-0.0033838398754596293,0.4,50.9,0.1
observer_supported_scene_meaning,Observer supported scene meaning,0.323061603307724,0.0011583030223846712,0.6,0.19593182057142258,0.004288139939308208,0.6,51.5,0.1
observer_subject_action_objects,Observer subject-action-objects,0.32288902103900907,0.0009857207536697666,0.4,0.19713132977485656,0.005487649142742199,0.6,47.3,0.1
baseline,Baseline,0.3219033002853393,0.0,0.0,0.19164368063211437,0.0,0.0,23.8,0.1
clear_visual_support,Clear visual support,0.32083021104335785,-0.0010730892419814786,0.6,0.1888934388756752,-0.0027502417564391674,0.4,31.9,0.1
visible_evidence_then_meaning,Visible evidence then meaning,0.32015920579433443,-0.001744094491004916,0.5,0.19007256329059602,-0.0015711173415183604,0.4,43.9,0.1
observer_compact_evidence,Observer compact evidence,0.3191673904657364,-0.0027359098196029384,0.6,0.1875820964574814,-0.004061584174632984,0.4,44.3,0.1
observer_scene_specific,Observer scene specific,0.3185413271188736,-0.0033619731664657317,0.5,0.18860704600811004,-0.0030366346240043225,0.5,49.9,0.1
subject_or_scene_center,Subject or scene center,0.31423174440860746,-0.007671555876731845,0.3,0.18963251411914825,-0.0020111665129661145,0.3,37.1,0.1
observer_no_guessing,Observer no guessing,0.3121957302093506,-0.009707570075988742,0.1,0.18814341649413108,-0.0035002641379832805,0.6,52.6,0.2
supported_activity_observer,Supported activity observer,0.28712196052074435,-0.03478133976459501,0.1,0.14799078479409217,-0.04365289583802219,0.2,52.0,0.2
