order,image_id,image_relpath,delta_clip,clip_score,baseline_clip_score,delta_siglip,siglip_score,baseline_siglip_score,caption,baseline_caption,reference_captions
103,flickr30k_test_022515,images/flickr30k/flickr30k_test_022515.jpg,0.0889972448348999,0.4095321893692016,0.3205349445343017,0.039300858974456815,0.2594331502914428,0.220132291316986,"A man in a yellow Hawaiian shirt holds up his smartphone to capture a photo of a blonde woman in a white lace top, who is smiling and looking toward the camera, as they stand in a bustling, brightly lit street lined with awnings and neon signs.","A man in a vibrant Hawaiian shirt captures a candid moment on his phone as he walks through a bustling, neon-lit street filled with people and lively storefronts.","[""A woman with blond-hair, wearing a white shirt is standing on a street among other people."", ""A man taking a cellphone picture of a woman in white on a crowded street."", ""A man in a Hawaiian shirt takes a photo of a woman wearing white."", ""A man is taking a picture of a woman on a crowded street."", ""Crowded street with a man taking a photo with his phone.""]"
102,flickr30k_test_028914,images/flickr30k/flickr30k_test_028914.jpg,0.07123970985412598,0.3605155348777771,0.2892758250236511,0.04777927696704859,0.216299757361412,0.1685204803943634,"A man in a black t-shirt and shorts stands on a forested trail overlooking a lake, gazing toward distant mountains; beside him, a German Shepherd with a blue backpack rests on the ground, while a second backpack leans against a fallen log nearby.","A hiker stands on a forest trail overlooking a serene lake, accompanied by a loyal German Shepherd, with misty mountains and towering evergreens framing the peaceful wilderness scene.","[""A Caucasian male in a black t-shirt and cargo shorts looking at faraway mountains and a body of water."", ""A man with his dog is wearing hiking gear and looking at the view of the mountains."", ""A man with his dog outside in the forest in the summer time with backpacks."", ""A guy in black shirt and shorts and dog outside."", ""Man on a mountain looking down on a lake.""]"
137,flickr30k_test_016016,images/flickr30k/flickr30k_test_016016.jpg,0.06471922993659979,0.3436684012413025,0.2789491713047027,0.03658589720726019,0.1802487075328827,0.1436628103256225,"A group of women in vibrant, flowing attire are captured mid-motion, energetically dancing on a stage under an open-air structure. Their hair and garments are dramatically swept by movement, suggesting a lively, high-energy performance. The central figure wears a bright orange dress, while others sport colorful, patterned skirts and tops","A vibrant, energetic dance performance unfolds under a covered stage, with dancers in colorful, flowing attire mid-motion—hair whipping, skirts swirling, and expressions of pure joy and freedom as they move in unison to the rhythm.","[""Vibrant colored dress wearing, long-haired women and men, under a bridge, dance in joy while a lone member holds up a peace sign with her hand."", ""Five women and one man are wearing multicolored skirts dancing under a grooved structure."", ""Several women that look like they are head-banging."", ""Six enthusiastic young women happily dance."", ""Several women dancing and jumping around.""]"
46,flickr30k_test_005620,images/flickr30k/flickr30k_test_005620.jpg,0.06300118565559393,0.3897338807582855,0.3267326951026916,0.04326787590980538,0.2887774705886841,0.2455095946788787,"Two young women stand laughing joyfully beneath a yellow “Commercial Drive Station” sign, each holding a branded drink cup with a straw, suggesting they are enjoying a casual, happy moment together at a transit station.","Two friends laugh joyfully at Commercial Drive Station, sipping from bright yellow cups of coffee or tea, capturing a moment of pure, carefree happiness on their commute.","[""Two women, one blond and one brunette, are laughing while drinking something."", ""Two women are drinking from yellow cups and laughing."", ""Two women are laughing with cups in their hands."", ""Two women holding fast food drinks are laughing."", ""Two women at a commercial drive station.""]"
49,flickr30k_test_028504,images/flickr30k/flickr30k_test_028504.jpg,0.05924001336097712,0.348721295595169,0.2894812822341919,0.02530321478843689,0.1604176163673401,0.1351144015789032,"A rugby player in a blue jersey is on the ground, having been tackled, while another player in a white jersey holds the ball tightly and is being supported by teammates as they attempt to maintain possession during a scrum or ruck.",Intense rugby tackle: players grapple for possession as one athlete clutches the ball while being brought down by opponents on a vibrant green field.,"[""It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more."", ""Two bald men, laying on a field, tussle over a ball with other men during a sporting event."", ""Rugby players fighting over the ball on the ground with bald heads in an official game."", ""Several soccer players in defensive position( s ) on the ground during a game."", ""Soccer players in a wrestling match.""]"
113,flickr30k_test_004358,images/flickr30k/flickr30k_test_004358.jpg,0.05430316925048834,0.3918722867965698,0.3375691175460815,0.016539990901946994,0.2355273216962814,0.2189873307943344,"A person in a black leather jacket stands on a cobblestone sidewalk holding a cluster of red heart-shaped balloons, one of which reads “Happy Valentine’s Day,” while another person in a vest and jeans walks past on a bicycle, carrying a white object that appears to be a rolled-up poster or banner. Behind them","A joyful Valentine’s Day celebration unfolds on a cobblestone street, as a person in a leather jacket holds a cluster of heart-shaped balloons, while another person rides a bicycle past, carrying a bag and a tool — a charming, everyday moment captured with a touch of romance and urban life.","[""Two people on a sidewalk, one of which is a man in a leather jacket holding some pink and red balloons and facing away from the street and the other is a woman in a cream jacket walking into the street."", ""A man is standing in front of a building holding heart shaped balloons and a woman is crossing the street."", ""A man is holding heart shaped balloons while a woman carrying a unicycle is walking away."", ""A man in a leather jacket holding heart balloons next to a woman walking"", ""A man in a black jacket is holding a bunch of heart shaped balloons.""]"
117,flickr30k_test_017636,images/flickr30k/flickr30k_test_017636.jpg,0.05215775966644293,0.357206255197525,0.3050484955310821,0.0282483100891113,0.1859266906976699,0.1576783806085586,"A runner in a blue and white uniform, wearing a race bib with the number 10, raises one arm in celebration as they cross a white-striped pedestrian crosswalk during a marathon. Other runners in athletic attire are visible nearby, some in motion and others pausing, while spectators and event staff stand behind metal barric","Runners cross the finish line in a vibrant autumn marathon, cheered on by spectators and bathed in the golden hues of falling leaves.","[""Runners in various colors running left of photo, with man in forefront waving at camera."", ""A group of people running a marathon round a curve as spectators look on."", ""A group of runners running a race in a street as a crowd looks on."", ""A group of people are running a race."", ""Many runners running in an event.""]"
56,flickr30k_test_006566,images/flickr30k/flickr30k_test_006566.jpg,0.050565481185913086,0.3371362090110779,0.2865707278251648,0.014279842376708984,0.1735592186450958,0.1592793762683868,"A group of friends is gathered around a wooden picnic table outdoors, raising their glasses and bottles in a toast. The man on the far left, wearing a white t-shirt, smiles at the camera while leaning on the table. To his right, several others—including a woman with sunglasses perched on her head and a man","A group of friends gathers around a wooden picnic table, laughing and toasting with green glass bottles under a bright, tree-lined sky — capturing the carefree joy of a summer get-together.","[""A group of people are sitting at a picnic table drinking while some are making faces."", ""Young people are seated around a picnic table with bottles of drinks on it."", ""Group of friends pose for photo with empty beer containers visible."", ""Several people are sitting around a picnic table drinking beers."", ""A group of people drinking in a park.""]"
36,flickr30k_test_018373,images/flickr30k/flickr30k_test_018373.jpg,0.049661785364151,0.3091618418693542,0.2595000565052032,0.0311534702777862,0.2088197171688079,0.1776662468910217,"Two men are seated outdoors on a low stone ledge, engaged in conversation. The man on the left, wearing a blue baseball cap, sunglasses, a yellow button-up shirt, and blue jeans, sits with his arms resting on his knees. The man on the right, wearing a plaid short-sleeved shirt and","Two men chatting outdoors on a sunny day, surrounded by greenery and urban scenery in the background.","[""Two middle-aged white men wearing sunglasses sit in sun, one with green shirt and blue baseball cap the other in a plaid."", ""Two men, one sitting and lounging, the other standing and talking."", ""Two men and a woman sitting outside on a short wall and talking."", ""Two men with sunglasses hanging out outside."", ""Two men with shades talking on a balcony.""]"
92,flickr30k_test_006980,images/flickr30k/flickr30k_test_006980.jpg,0.04828724265098572,0.351430594921112,0.3031433522701263,-0.013309299945831299,0.2342943251132965,0.2476036250591278,"A young girl with face paint and a blue headband sits on a gravel surface, enthusiastically eating a large, fluffy blue cotton candy on a white stick. She wears a blue dress and white sandals, one of which is lifted off her foot as she leans back, fully absorbed in the sweet treat.","A joyful little girl with colorful face paint savors a fluffy blue cotton candy, her bare feet and playful sandals adding to the carefree summer vibe.","[""The girl in a blue dress is eating some blue cotton candy with one shoe off and one shoe on."", ""Child in blue dress holding sandal in one hand and eating blue cotton candy with other hand."", ""A girl dressed in blue enjoys a blue treat while putting her white shoe back on."", ""A girl in a blue dress takes off her shoes and eats blue cotton candy."", ""A girl in a blue dress sitting on the ground eating cotton candy.""]"
