image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,examples_semantic_caution,0.3653068840503692,0.3434661626815796,0.021840721368789617,"Visible concrete evidence includes a man wearing a yellow, black, and red striped jersey with a ""CARRY"" patch, holding a red megaphone and a black umbrella, standing beneath a directional signpost with distance markers to cities like Johannesburg and Cape Town. The background features a brick building with ivy-covered walls and"
8484,examples_anchor_caption,0.302803486585617,0.2797788381576538,0.0230246484279632,"A man in a dark suit and white shirt walks through a supermarket aisle, carrying a blue shopping basket, with other shoppers visible nearby."
12623,semantic_with_uncertainty_control,0.352175772190094,0.3427976071834564,0.009378165006637573,"A rider in a cowboy hat and plaid shirt clings to the back of a powerful black bull as it bursts from a yellow chute, kicking up dust in a rodeo arena, with spectators and other riders visible in the background."
13268,semantic_with_uncertainty_control,0.3945179581642151,0.3698818981647491,0.024636059999465998,"A young boy in a historical costume, complete with a tricorn hat and red coat, holds a replica rifle while being assisted by another child, as they stand near a table covered with military gear and camouflage fabric, suggesting a reenactment or educational event."
13781,people_scene_balance,0.3304487764835357,0.3043276369571686,0.026121139526367132,"A group of seven people are gathered around a long dining table, engaged in a lively, convivial meal. Their expressions and gestures suggest laughter and animated conversation. The table is laden with food and drink: plates with remnants of meals, a large green bowl of salad, a container of what appears to be rice or pasta"
15922,supported_scene_grouping,0.3150355219841003,0.3000148236751556,0.015020698308944702,"A man with short dark hair and a beard is seated in a red, open-frame dune buggy or go-kart, smiling at the camera. He is wearing a green short-sleeved shirt and dark shorts. The vehicle has a black roll cage, a steering wheel, and thick, knobby tires. A"
16753,semantic_with_uncertainty_control,0.3473630547523498,0.3234077095985412,0.023955345153808594,"A smiling woman stands in an office environment, wearing a light yellow, oversized protective gown covered in handwritten signatures and drawings, suggesting it has been a gift or keepsake from colleagues. Her arms are spread wide, showcasing the decorated garment. Behind her, office furniture, filing cabinets, and framed artwork are visible, indicating a"
24836,visual_keyword_sentence,0.3348916471004486,0.3175976574420929,0.017293989658355713,"A group of students in blue uniforms sits on a concrete ledge outside a school building, while one girl in a black top and shorts talks on her phone, her legs dangling over the edge."
27670,siglip_visible_alignment,0.3890361189842224,0.3370434939861297,0.05199262499809271,"A person in a red shirt and blue jeans is placing two raw, round, pinkish-brown burger patties onto the grates of a black, round charcoal grill. The grill sits on a grassy lawn, with its lid resting nearby on the left. The person’s hands are positioned over the grill, actively"
29171,compact_grounded_detail,0.3293056190013885,0.3007171750068664,0.028588443994522095,"Golfer mid-swing on a lush green fairway, wearing a navy top, beige pants, and a white cap with blue logo, surrounded by spectators and tall trees under overcast skies."
