order,dataset_index,image_id,image_path,prompt_id,prompt_name,prompt_text,caption,zerocap_best_idx,zerocap_candidates
0,4402,4402,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/000_4402.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a police road leading to school children in Jakarta.,2,"[' police road.', ' police road leading.', ' police road leading to school children in Jakarta.', ' police road in Jakarta park.', ' police road leading to school children.']"
1,18651,18651,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/001_18651.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a trader with orange and yellow.,3,"[' trader.', ' truck vendor.', ' trader with orange hair.', ' trader with orange and yellow.', ' trader with orange and yellow on the back.']"
2,27768,27768,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/002_27768.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a protest woman punched in the back of the head.,3,"[' protest woman punched in the face.', ' protest woman punched.', ' protest woman punched in the head.', ' protest woman punched in the back of the head.', ' protest woman punched in the back of the head by the police.']"
3,26288,26288,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/003_26288.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a trader slicing mango leaves.,1,"[' trader cutting a piece.', ' trader slicing mango leaves.', ' trader preparing for cutting.', ' trader cutting a piece of fruit.', ' trader cutting a piece of fruit from the ground.']"
4,25027,25027,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/004_25027.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man lining girls waiting in line with blankets covering his head.,3,"[' man lining girls waiting area.', ' man lining girls waiting in line.', "" man lining girls' skirts."", ' man lining girls waiting in line with blankets covering his head.', ' man lining girls waiting in line with blankets covering his face.']"
5,2067,2067,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/005_2067.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a concert carrying a small suitcase in the street.,3,"[' concert pedestrian.', ' concert carrying a small suitcase.', ' concert carrying a person under age.', ' concert carrying a small suitcase in the street.', ' concert carrying a small suitcase in the street below.']"
6,8358,8358,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/006_8358.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a player in goalkeeper gear diving.,3,"[' player in Goal.', ' player in goalie kick.', ' player in goalkeeper training.', ' player in goalkeeper gear diving.', ' player in goalkeeper gear diving in goal.']"
7,3863,3863,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/007_3863.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a group jumping in the desert is a popular image.,3,"[' group jumping.', ' group jumping in desert.', ' group jumping in the desert.', ' group jumping in the desert is a popular image.', ' group jumping in the desert is a popular one.']"
8,16234,16234,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/008_16234.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a video shoot on location in the camp set in the camp's main room.,4,"[' video shoot on location.', ' video shoot on film.', ' video shoot on location in the camp.', ' video shoot on the set.', "" video shoot on location in the camp set in the camp's main room.""]"
9,24935,24935,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/009_24935.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a man buys food distribution.,3,"[' market transaction.', ' man buys food parcels.', ' woman queueing.', ' man buys food distribution.', ' man buys food distribution of the organization Food Security and Empowerment Coalition Now']"
10,14728,14728,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/010_14728.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a ball sold out being filmed at Sony in 2013.,3,"[' ball sold out.', ' ball sold out being filmed.', ' ball sold out being filmed at Sony in 2014.', ' ball sold out being filmed at Sony in 2013.', ' ball sold out being filmed at Sony.']"
11,15474,15474,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/011_15474.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a river centre with stalls in the river and a man carrying a plastic boat in,4,"[' river centre with stalls in the water.', ' river centre with stalls in the river.', ' river centre with stalls in the river centre area.', ' river centre with stalls in the middle.', ' river centre with stalls in the river and a man carrying a plastic boat in']"
12,21351,21351,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/012_21351.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a painting installation depicting Toronto subway performers.,2,"[' painting installation.', ' mural.', ' painting installation depicting Toronto subway performers.', ' painting installation depicting Toronto subway dancers.', "" painting installation depicting Toronto's subway art collection.""]"
13,12439,12439,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/013_12439.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a flight eating marshmallows taken from marsh in Florida.,2,"[' flight eating marshmallows.', ' flight eating marshmallows taken from a bird feeder.', ' flight eating marshmallows taken from marsh in Florida.', ' flight eating marshmallows taken from a bird feeder in San Francisco Bay', ' flight eating marshmallows taken from a bird feeder in San Juan.']"
14,25844,25844,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/014_25844.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a scene playing out in the middle of a young girl trying trying to keep Michael,4,"[' scene playing out in the show.', ' scene playing out in the middle of a woman.', ' scene playing out.', ' scene playing out in the middle of a young girl trying trying to keep her', ' scene playing out in the middle of a young girl trying trying to keep Michael']"
15,6879,6879,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/015_6879.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a player walking away from the game wearing a brace.,4,"[' player walking away.', ' player walking.', ' player leaving club.', ' player walking away from the game.', ' player walking away from the game wearing a brace.']"
16,3075,3075,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/016_3075.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a Kid in Tokyo Floods (via The Japan Times). Photo of a Japanese,4,"[' Kid in Tokyo flood.', ' Kid in Tokyo Flood.', ' child rescuing a flood.', ' Kid in Tokyo Floods.', ' Kid in Tokyo Floods (via The Japan Times). Photo of a Japanese']"
17,15986,15986,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/017_15986.jpg,zerocap,ZeroCap,cond_text=Image of a,Image of a stranded lab in Florida showing the path the animal would have been expected.,3,"[' stranded lab.', ' stranded Lab.', ' stranded lab in Florida.', ' stranded lab in Florida showing the path the animal would have been expected.', ' stranded lab in Florida showing the path the animal would have been expected to travel']"
