split_id,method_id,run_id,prompt_id,prompt_name,order,gallery_index,image_id,caption
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,0,0,flickr30k_test_028282,"Two players, one in green and black jersey with ""Voite"" logo and the other in black and yellow, compete in midair; the green-jerseyed player extends right arm holding a gray handball while left leg kicks back, both wearing athletic shoes, captured in a dynamic close-up under bright indoor lighting"
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,1,1,flickr30k_test_027821,"One woman in foreground runs, wearing red sleeveless top with white bib reading ""MARY"" and black watch on left wrist, while spectators stand in midground and background."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,2,2,flickr30k_test_001853,"Two people, a man in blue patterned swim trunks and a woman in a teal bikini, stand center foreground on sandy beach with seaweed, facing each other near water's edge; wide shot, diffuse lighting, ocean waves and distant seagull in background."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,3,3,flickr30k_test_003001,"One person in foreground, wearing red shirt, camouflage shorts, and red cap, performs a low split with right hand touching ground and left hand near a skateboard, while another person sits in background on concrete; wide shot, natural daylight, grassy area visible behind."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,4,4,flickr30k_test_002781,"One person in foreground center wears pink hat and holds phone upward with right hand; crowd behind them raises arms, illuminated by green vertical lights against dark stage backdrop, captured in low-angle shot with spotlight effect."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,5,5,flickr30k_test_011831,"Seven silhouetted people stand in a line across the foreground atop a rocky ridge, facing a bright sun with lens flare above a sea of clouds in the midground, captured in a wide shot with strong backlighting."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,6,6,flickr30k_test_027377,"One woman in the foreground, center, strums an acoustic guitar with her left hand while singing into a microphone held by her right hand, wearing a sequined silver dress under stage lights with blue spherical lights visible in the background."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,7,7,flickr30k_test_005540,"One woman in foreground center, right arm raised near head, wears red shirt with ""COALITION"" text and black pants, holding camera bag; beside her, a man in red shirt and khaki shorts walks right; background midground shows other people in red shirts, umbrellas, and green trees under overcast"
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,8,8,flickr30k_test_024116,"One elderly person in a white shirt and gray pants bends at the waist in the midground, holding a paintbrush and a white bag with yellow text, while a young girl in a blue and pink patterned dress stands with hands on hips in the foreground; wide shot, natural daylight, paved stone ground."
flickr30k_retrieval_1000_seed2_head,qwen_textgrad_multimodal_best,qwen_textgrad_multimodal_best__flickr30k_retrieval_1000_seed2_head,textgrad_multimodal_best,TextGrad Multimodal Best,9,9,flickr30k_test_026508,"One gymnast in a pink and green leotard with white sleeves, mid-air with right leg extended forward and left leg bent, holding a long magenta ribbon that arcs from foreground to midground, against a wooden-paneled gymnasium wall with a basketball hoop and scoreboard in the background, captured in a wide"
