prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
main_subject_first,Main subject first,0.33344400227069854,0.011540701985359192,0.9,0.2000991702079773,0.008455489575862885,0.8,32.2,0.1
clip_friendly,CLIP-friendly,0.32987232208251954,0.007969021797180176,0.6,0.19231238216161728,0.0006687015295028687,0.4,26.3,0.1
two_sentence_detail,Two-sentence detail,0.32708820104599,0.005184900760650635,0.5,0.19496888816356658,0.003325207531452179,0.6,45.1,0.1
dense_visual,Dense visual caption,0.32402571439743044,0.0021224141120910643,0.5,0.19077484011650087,-0.0008688405156135559,0.5,34.1,0.1
specific_not_verbose,Specific not verbose,0.3222282588481903,0.0003249585628509521,0.6,0.19615196138620378,0.004508280754089355,0.5,29.8,0.1
baseline,Baseline,0.32190330028533937,0.0,0.0,0.1916436806321144,0.0,0.0,23.8,0.1
grounded_detail,Grounded detail,0.3206480801105499,-0.0012552201747894286,0.6,0.1928659975528717,0.0012223169207572937,0.6,53.3,0.2
no_inference,No inference,0.3198092520236969,-0.0020940482616424562,0.5,0.1824719488620758,-0.009171731770038605,0.4,51.7,0.5
grounded_semantic,Grounded semantic,0.31974359452724455,-0.0021597057580947875,0.5,0.17827581018209457,-0.013367870450019836,0.4,51.3,0.1
avoid_mood_summary,Avoid mood summary,0.3188383311033249,-0.0030649691820144654,0.6,0.18855839222669601,-0.003085288405418396,0.7,53.0,0.3
object_action,Object-action,0.317466014623642,-0.004437285661697388,0.4,0.1938790962100029,0.002235415577888489,0.5,25.4,0.1
uncertainty_aware,Uncertainty-aware,0.31693304479122164,-0.004970255494117737,0.5,0.1773417577147484,-0.014301922917366029,0.5,52.6,0.2
role_structure,Role structure,0.31587316691875456,-0.006030133366584778,0.4,0.19423324316740037,0.00258956253528595,0.6,33.9,0.1
anti_generic,Anti-generic,0.31156098544597627,-0.010342314839363098,0.5,0.18968730568885803,-0.0019563749432563783,0.5,52.9,0.2
salient_anchor,Salient anchor,0.3081289499998093,-0.01377435028553009,0.2,0.18576772809028624,-0.0058759525418281555,0.6,50.6,0.1
discriminative_detail,Discriminative detail,0.3076634883880615,-0.014239811897277832,0.3,0.18922986537218095,-0.0024138152599334716,0.4,51.3,0.1
short_phrase,Short phrase,0.3070286393165588,-0.014874660968780517,0.2,0.1780366748571396,-0.013607005774974822,0.5,13.0,0.0
anchor_then_context,Anchor then context,0.28531249463558195,-0.036590805649757384,0.1,0.1513698346912861,-0.04027384594082832,0.4,50.5,0.1
scene_state,Scene state,0.2713433548808098,-0.05055994540452957,0.1,0.16107152923941612,-0.03057215139269829,0.3,53.9,0.2
