image_id,baseline_caption,baseline_clip,baseline_siglip,test_caption,test_clip,test_siglip,delta_clip,delta_siglip,bucket
13781,"A group of friends is gathered around a dining table, enjoying a lively meal together with food, drinks, and animated conversation.",0.3043276369571686,0.1363967061042785,"A group of friends is gathered around a dining table, sharing a lively meal together. A woman in a striped top is laughing while eating, while another woman with dark hair pours a beverage from a pitcher into a glass. A man in a yellow shirt is also laughing, and another man on the left is holding a fork",0.3535069227218628,0.1632600575685501,0.049179285764694214,0.0268633514642716,CLIP+ / SigLIP+
29171,"A golfer in a navy shirt and beige pants is captured mid-swing on a lush green golf course, with spectators and trees in the background.",0.3007171750068664,0.1389953643083572,"A golfer, wearing a navy blue shirt, beige pants, and a white cap, is captured mid-swing on a lush green golf course, his body twisted in the follow-through motion as he strikes the ball. The scene is set on a well-manicured fairway bordered by tall trees, with spectators visible",0.3024885356426239,0.1622068732976913,0.0017713606357575018,0.02321150898933408,CLIP+ / SigLIP+
24836,"A group of students in blue uniforms sits on a stone ledge outside a school building, while a girl in a black top sits alone nearby talking on her phone.",0.3175976574420929,0.182247519493103,"A group of young people, mostly wearing matching blue shirts, are gathered on a low stone ledge outside a modern building, while one woman in a black top sits alone nearby, talking on her phone. The scene suggests a casual, possibly academic or campus setting, with the group appearing to be in conversation or waiting, while",0.3313257992267608,0.2043722569942474,0.013728141784667913,0.02212473750114441,CLIP+ / SigLIP+
13268,"A young boy in a historical costume holds a toy rifle while being assisted by another child, surrounded by adults in military-style attire at an outdoor event.",0.3698818981647491,0.2382384836673736,"A young boy in a historical reenactment costume, complete with a tricorn hat and red coat, holds a replica rifle while being assisted by another child who lifts the hat off his head. They stand near a table covered with camouflage fabric and military gear, with adults in similar attire nearby, suggesting a historical or",0.3965426385402679,0.2589337229728699,0.0266607403755188,0.02069523930549627,CLIP+ / SigLIP+
27670,A person in a red shirt is placing raw burger patties onto a charcoal grill in a grassy backyard.,0.3370434939861297,0.1868209838867187,"A person wearing a red shirt and blue jeans is carefully placing raw hamburger patties onto the grates of a black, round charcoal grill in a grassy backyard. The grill lid rests nearby on the grass, and the person’s hands are positioned over the patties as they are being arranged for cooking.",0.3675455749034881,0.1958512067794799,0.0305020809173584,0.009030222892761203,CLIP+ / SigLIP+
1326,A man in a sports jersey holds a megaphone and a black umbrella while standing beneath a cluster of directional signs pointing to various cities and landmarks.,0.3434661626815796,0.2511925995349884,"A man in a black, yellow, and red sports jersey stands beneath a cluster of directional signs, holding a red megaphone in one hand and a black umbrella in the other, looking upward with an expression of focused attention. Behind him, a brick building with ivy-covered walls and a stone archway rises against",0.3234493136405945,0.2468719333410263,-0.020016849040985107,-0.004320666193962097,CLIP- / SigLIP-
8484,"A busy supermarket aisle filled with shoppers browsing products, some carrying baskets and bags, under bright fluorescent lighting.",0.2797788381576538,0.1666999608278274,"Inside a brightly lit supermarket aisle, a man in a dark suit and light shirt walks forward, carrying a blue shopping basket, while a group of shoppers—some with bags and baskets—stand or move nearby, browsing the refrigerated section on the left and shelves stocked with goods on the right. The scene suggests a typical",0.2924571335315704,0.1598634719848632,0.01267829537391657,-0.0068364888429642,CLIP+ / SigLIP-
12623,"A bull rider clings on as a powerful black bull bucks wildly in a dusty rodeo arena, surrounded by spectators and yellow chutes.",0.3427976071834564,0.1681913584470749,"A bull rider, wearing a cowboy hat and plaid shirt, is clinging to the back of a powerful, dark-colored bull as it bursts out of a yellow chute, kicking up a cloud of dust in a rodeo arena. The bull’s horns are curved and prominent, and its front hooves are lifted off the",0.3399967551231384,0.1390273571014404,-0.002800852060317993,-0.029164001345634488,CLIP- / SigLIP-
16753,A smiling woman in a hospital gown covered in signatures and drawings stands with arms outstretched in a medical office.,0.3234077095985412,0.2179586142301559,"A smiling Black woman stands in an office environment, wearing a light yellow, oversized plastic gown that is covered in handwritten signatures and drawings, suggesting it has been a gift or keepsake from colleagues. Her arms are spread wide, displaying the decorated garment. Behind her, the office contains standard furnishings including filing cabinets, a desk",0.3881238400936126,0.1880690306425094,0.06471613049507141,-0.029889583587646484,CLIP+ / SigLIP-
15922,"A smiling man drives a red dune buggy with ""Moto Rent Colombia"" branding, parked under a red metal awning with other vehicles and equipment visible in the background.",0.3000148236751556,0.2296952158212661,"A smiling man with short dark hair, wearing a green t-shirt and shorts, is seated in the driver’s seat of a red, open-frame dune buggy. He is gripping the steering wheel and looking toward the camera. The vehicle, which has a black roll cage and thick, knobby tires, features a white",0.303433358669281,0.1768915057182312,0.0034185349941254217,-0.05280371010303489,CLIP+ / SigLIP-
