split_id,order,dataset,source_split,dataset_index,image_id,image_relpath,reference_captions
flickr30k_main_seed1_train,149,flickr30k,test,403,flickr30k_test_000403,images/flickr30k/flickr30k_test_000403.jpg,"[""A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room."", ""A man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background"", ""A young child jumping on the bed as a man looks the other way."", ""Man standing in the bedroom with little boy jumping into bed."", ""A child leaping from bed to bed behind the back of a man.""]"
flickr30k_main_seed1_train,84,flickr30k,test,23641,flickr30k_test_023641,images/flickr30k/flickr30k_test_023641.jpg,"[""There are several people either sitting on benches or walking through what appears to be a brick road with trees coming up from various circular openings in the road."", ""A group of people rest on a park bench underneath the shade of the canopy of trees as a man in a brightly colored pink stripe shirt walks past."", ""A park with trees, people sitting on benches, and people walking."", ""People are walking under trees while other are sitting down."", ""People walking through a watery path.""]"
flickr30k_main_seed1_train,40,flickr30k,test,833,flickr30k_test_000833,images/flickr30k/flickr30k_test_000833.jpg,"[""A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight."", ""Kids play a game of ball with paddles at the water's edge at the beach."", ""Three children are playing paddle ball on the beach."", ""Three boys play with paddles on the beach."", ""Several children playing on a beach.""]"
flickr30k_main_seed1_train,66,flickr30k,test,30359,flickr30k_test_030359,images/flickr30k/flickr30k_test_030359.jpg,"[""A soccer game with 5 guys in the picture but three of them are about to commence in a three way kick."", ""A group of soccer teammates are fighting over the soccer ball while in a stadium full of supporters."", ""Five young men, three in yellow, one in red and one in white are playing soccer."", ""A soccer player is attempting to score a goal."", ""Guys are play soccer on the field.""]"
flickr30k_main_seed1_train,106,flickr30k,test,7954,flickr30k_test_007954,images/flickr30k/flickr30k_test_007954.jpg,"[""A girl wearing a pink bathing suit top and sunglasses is playing in the sand next to a boy wearing red swim trunks."", ""A woman and her son play in the sand on a sunny day in the beach."", ""A young boy and girl in swimsuits play in the sand at the beach."", ""Two teenagers at the beach playing in the sand"", ""A boy and girl play with the sand.""]"
flickr30k_main_seed1_train,41,flickr30k,test,21284,flickr30k_test_021284,images/flickr30k/flickr30k_test_021284.jpg,"[""A group of men in black suits and black hats are standing along a parade route."", ""A group of Hasidic Jews stand amidst a crowd adjacent to a busy city street."", ""Bearded men wearing black gather together outside of a religious service."", ""People in black hats gathered together downtown."", ""Many jewish men in a city.""]"
flickr30k_main_seed1_train,52,flickr30k,test,17289,flickr30k_test_017289,images/flickr30k/flickr30k_test_017289.jpg,"[""A man wearing a blue sweatshirt and dark baseball cap is sweeping the floor with others watching."", ""One man is using a mop, while two other men watch from the background."", ""A tall looking man wearing a hat is mopping the floor."", ""Guys cleaning the floor with sweeper."", ""A guy in a sweater cleans the floor.""]"
flickr30k_main_seed1_train,94,flickr30k,test,9311,flickr30k_test_009311,images/flickr30k/flickr30k_test_009311.jpg,"[""A toddler plays in a water fountain with his mouth open and ready for a drink."", ""A baby sticking out his tonge while looking at a spraying water fountain."", ""A baby trying to catch water from a fountain in his mouth"", ""A small boy is playing at a water fountain"", ""A baby reaching into a water fountain.""]"
flickr30k_main_seed1_train,11,flickr30k,test,15474,flickr30k_test_015474,images/flickr30k/flickr30k_test_015474.jpg,"[""Three Vietnamese women paddle their boats along the river market in the morning."", ""Three boaters paddle their produce to the market in a Vietnamese fishing village."", ""Villagers paddling their boats to their destination."", ""Canoes travel across the water along side buildings."", ""The people are delivering goods by boat""]"
flickr30k_main_seed1_train,51,flickr30k,test,951,flickr30k_test_000951,images/flickr30k/flickr30k_test_000951.jpg,"[""A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark, cloudy sky and leaves the only visible footprints behind."", ""A man with a shoulder bag walking in the desert on sand with footprints behind him and the horizon with many stormy clouds."", ""A man walking in the desert wearing a hat, khaki shirt and shorts and very dark sky ahead of him."", ""One man is walking across a desert right into an approaching storm."", ""A man wandering in the desert as the clouds roll in.""]"
flickr30k_main_seed1_train,77,flickr30k,test,23712,flickr30k_test_023712,images/flickr30k/flickr30k_test_023712.jpg,"[""A man in a red shirt plays the violin on stage."", ""A man with long wavy hair, playing the violin."", ""A man eagerly playing the violin on stage."", ""A man with long wavy hair plays to violin."", ""A man plays the violin on stage.""]"
flickr30k_main_seed1_train,85,flickr30k,test,23304,flickr30k_test_023304,images/flickr30k/flickr30k_test_023304.jpg,"[""A young woman in a pink top holds several shopping bags while walking down a boulevard."", ""A woman in a pink and black short skirted outfit walking with shopping bags."", ""A lady dressed in pink and black walking down a sidewalk carrying packages."", ""A young woman is walking with shopping bags in Hollywood."", ""A well dressed woman is shopping in front of a store.""]"
flickr30k_main_seed1_train,32,flickr30k,test,7496,flickr30k_test_007496,images/flickr30k/flickr30k_test_007496.jpg,"[""Two men wearing hats play accordions while standing between two burgundy and black pre-World War II automobiles."", ""Two accordion players in period costumes perform between two maroon-colored antique cars."", ""Two old men with hats are standing in between cars with their accordions."", ""Two men between 2 classic cars playing accordions."", ""Two men playing music and displaying old cars.""]"
flickr30k_main_seed1_train,109,flickr30k,test,13247,flickr30k_test_013247,images/flickr30k/flickr30k_test_013247.jpg,"[""Several men walk in front of a building marked 'Bass Pro Shops Outdoor World'."", ""People are walking outside the entrance to Bass Pro Shops Outdoor World."", ""People walking in front of the Outdoor World store."", ""A white-haired man is walking out of a store."", ""People outside of an Outdoor World shop.""]"
flickr30k_main_seed1_train,28,flickr30k,test,14594,flickr30k_test_014594,images/flickr30k/flickr30k_test_014594.jpg,"[""A person aquestrian horse jumping over a wooden fence."", ""A horse and rider jumping a small fence."", ""A horse and rider jump over a fence."", ""A horse jumps over a wooden fence."", ""A jockey on a horse jumps a fence.""]"
flickr30k_main_seed1_train,70,flickr30k,test,30024,flickr30k_test_030024,images/flickr30k/flickr30k_test_030024.jpg,"[""Several men are sitting around a dinner table having separate conversations."", ""A group of men are sitting at a table talking."", ""A man with gray hair is sitting at a table."", ""Four men are at a dining table."", ""Four men sitting at a table.""]"
flickr30k_main_seed1_train,108,flickr30k,test,26129,flickr30k_test_026129,images/flickr30k/flickr30k_test_026129.jpg,"[""Two men skiing up a hill but stopped and pointing at something as they on our their trek."", ""Two men wearing snowshoes stopping to observe something on the ground."", ""Two guys with snowshoes making their way through the woods."", ""Two men in snowshoes tracking the prints of an animal."", ""Two people wearing snowshoes are tracking something.""]"
flickr30k_main_seed1_train,137,flickr30k,test,10109,flickr30k_test_010109,images/flickr30k/flickr30k_test_010109.jpg,"[""A group of Asians with baskets of produce are squatting in a vegetable market."", ""Several people are picking through crops at an urban market."", ""Two people cleaning greens in the sunset."", ""Women are on business selling vegetables."", ""Two Asians with green leafy vegetables.""]"
flickr30k_main_seed1_train,46,flickr30k,test,12491,flickr30k_test_012491,images/flickr30k/flickr30k_test_012491.jpg,"[""A person is in the air while riding his bicycle on top of the train on a clear blue sky day."", ""A person is jumping over a train car while on their bicycle."", ""A person on a bicycle moving across the top of a train."", ""A man on a bmx bike jumps over a train"", ""A man jumps train cars with his bike.""]"
flickr30k_main_seed1_train,37,flickr30k,test,10401,flickr30k_test_010401,images/flickr30k/flickr30k_test_010401.jpg,"[""A girl in a blue sweater with a white pattern is jumping into a pile of leaves."", ""A young girl is diving into a pile of brown leaves in the yard."", ""A girl in a sweater diving into a pile of leaves."", ""A girl is jumping into a pile of leaves."", ""A girl is jumping into a pile of leaves""]"
flickr30k_main_seed1_train,82,flickr30k,test,10901,flickr30k_test_010901,images/flickr30k/flickr30k_test_010901.jpg,"[""Two children, warmly dressed, are playing in the snow."", ""Two kids playing in the snow in a rural area."", ""Two young children play in the snow."", ""Two young children enjoy the snow."", ""Two children playing in the snow.""]"
flickr30k_main_seed1_train,120,flickr30k,test,12278,flickr30k_test_012278,images/flickr30k/flickr30k_test_012278.jpg,"[""A group of people sit on a roof near a satellite dish while a young animal drinks from a bowl."", ""Group of people sitting on some chairs on their rooftop with a goat."", ""Some people and a goat are on a rooftop in a middle eastern city."", ""Several people are sitting on a roof in a Middle Eastern city."", ""A family sits on a rooftop watching TV.""]"
