order,dataset_index,image_id,image_path,reference_captions
0,4402,4402,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/000_4402.jpg,"[""A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side."", ""An old man in a green shirt is walking down a paved path with three small children."", ""A man and three kids walk up a paved hill."", ""A Family going for a walk in a park."", ""A family walks through a park.""]"
1,18651,18651,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/001_18651.jpg,"[""A man in light brown hat, gray coat and a blue vest with a scooter built with baskets full of oranges"", ""A farmer is taking his oranges to the market to sell."", ""A man is standing with vegetables in barrels."", ""An old foreign man selling oranges."", ""Mexican man peddling fresh fruit.""]"
2,27768,27768,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/002_27768.jpg,"[""The redheaded girl giggles happily as she swings her pillow at her opponent during a recent pillow fight."", ""A lady in a red shirt with red-hair laugh while throwing a pillow over her left shoulder."", ""A woman with red-hair swings a pillow and laughs."", ""A young redheaded woman laughs at something."", ""A redhead girl in a pillow fight.""]"
3,26288,26288,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/003_26288.jpg,"[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]"
4,25027,25027,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/004_25027.jpg,"[""A woman in turquoise dress and veil, a woman in orange print dress and blue veil, and a woman in yellow dress and violet veil, seated next to one another and viewed from behind."", ""Three women with headscarves and bright clothing take a ride in a rickshaw."", ""Women in Afghanistan who must cover themselves."", ""Three women are riding in a carriage together."", ""Three women are riding in a cart.""]"
5,2067,2067,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/005_2067.jpg,"[""People sitting at tables outside chatting while a musician gets ready to play bass."", ""A man holds a guitar on a busy street while people look on."", ""A little girl is watching a man play guitar on the street."", ""A girl on a city street is looking at a guitar player."", ""A street guitarist is outside a cafe""]"
6,8358,8358,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/006_8358.jpg,"[""This guy is in midair while wearing a red soccer uniform."", ""A soccer player in a red shirt in diving into the air."", ""A man wearing a red jersey jumps in the air."", ""A soccer player is diving for the ball."", ""A soccer player diving on the field.""]"
7,3863,3863,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/007_3863.jpg,"[""A group of six people have jumped into the air in the middle of nowhere and one is catching a ball."", ""A group of people are jumping into the air with their arms held high."", ""Six people are jumping in the air, one of them throwing a ball."", ""A group of people in a desert jumping, one throwing a ball."", ""Six people jump for ball.""]"
8,16234,16234,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/008_16234.jpg,"[""The young child is yelling into the microphone, while other children watch."", ""A young boy vocalizes in to a microphone held by a blond woman in black."", ""A young child is in front of a microphone as other people are watching."", ""Little kid is taking a bit of something from a puppet."", ""A boy yells into a microphone held by a woman.""]"
9,24935,24935,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/009_24935.jpg,"[""A group of shoppers gather at a fresh produce stand in order to make their selections."", ""A group of African Americans gather a street vendor."", ""Customers are waiting to get some food."", ""Hungry people are shopping for food."", ""A line is forming for the food cart.""]"
10,14728,14728,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/010_14728.jpg,"[""Large group of people in a building looking at a large mostly white color ball being rolled."", ""A group of people stand around a large ball while a gentleman takes a picture."", ""Two older men roll out a huge ball as a crowd watches and takes pictures"", ""A man in a group of people is taking a photo."", ""People photographing exhibits in a museum.""]"
11,15474,15474,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/011_15474.jpg,"[""Three Vietnamese women paddle their boats along the river market in the morning."", ""Three boaters paddle their produce to the market in a Vietnamese fishing village."", ""Villagers paddling their boats to their destination."", ""Canoes travel across the water along side buildings."", ""The people are delivering goods by boat""]"
12,21351,21351,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/012_21351.jpg,"[""A woman dressed in all black standing in front of colorful picture playing a violin."", ""A woman dressed in black is playing the violin in front of some artwork."", ""A woman in black playing an instrument on the subway platform."", ""A woman on a bright street is playing the violin."", ""A lady performing in a underground train station""]"
13,12439,12439,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/013_12439.jpg,"[""A large bird spreading his wings in flight over a body of water."", ""A large gray bird begins to land in the water."", ""A gray bird is flying over the water."", ""A blue bird flying over water."", ""A bird flying over the water.""]"
14,25844,25844,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/014_25844.jpg,"[""The two boys, one in orange the other in teal, wrestle in the sand."", ""Two boys are playing in the sand at a playground."", ""Two young boys are wrestling in a sandpit."", ""Two boys wrestle together in the sand."", ""Two boys tussle in the sand at a park.""]"
15,6879,6879,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/015_6879.jpg,"[""A little boy in a blue soccer uniform walks, approaching a team member from the opposite team."", ""A boy in blue soccer shirt and shorts stands watching two other children play soccer."", ""A little boy with Adidas shorts and soccer cleats waits patiently."", ""A child is standing on the street and looking at some kid."", ""Little boy dressed in blue wearing cleats.""]"
16,3075,3075,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/016_3075.jpg,"[""A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on."", ""A small child in blue raincoat and a small child in a white shirt is waling in the rain water."", ""Small children are wading through shallow waters that are flooding the street."", ""People walking in a big puddle."", ""Children walking in the rain.""]"
17,15986,15986,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/017_15986.jpg,"[""A black and brown dog is jumping on blocks of concrete in the water."", ""Black dog looking at his reflection in the water."", ""A black dog carefully crosses over some water."", ""Black dog near a dock looks into murky water"", ""The black dog jumps on a cinderblock.""]"
18,928,928,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/018_928.jpg,"[""A woman with a red jacket and her companion eating snacks."", ""A young man and woman enjoy some ribs in the evening."", ""Two people are eating barbecue ribs at night."", ""A man and a woman about to eat."", ""These two people are eating.""]"
19,29272,29272,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/019_29272.jpg,"[""A man on stage in the act of jumping, with a little boy in the background really enjoying it."", ""A man with braids, a t-shirt, and sweatpants is dancing in front of a crowd of people."", ""An African American man is jumping in the air, while a boy claps."", ""A man jumps rope while a crowd of people watch him."", ""A black man is jumping and a crowd is gathered""]"
20,27386,27386,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/020_27386.jpg,"[""A single-file group of people wearing backpacks and other gear are hiking up the side of a green-covered mountain."", ""A group of backpackers treks across a green hill with snowcapped mountains off in the distance."", ""A line of backpackers trekking across a very green, hilly landscape."", ""A group of people are hiking along a grassy area."", ""Hiking in the mountains to have a scenic picnic.""]"
21,12773,12773,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/021_12773.jpg,"[""A man in blue jeans is sitting on the shoulders of another person as he interacts with a woman performer on stage at a concert."", ""A woman with a microphone on a stage points the microphone at a man who is standing in the audience in front of her"", ""A fan sitting on someone's shoulders is waving to a woman on a stage that says Amnesty International."", ""Woman on stage at Amnesty International event exchanges gestures with man offstage."", ""A woman on stage points to a man holding up his hand""]"
22,14180,14180,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/022_14180.jpg,"[""A man in a blue shirt walking down the street with another man peddling a food cart down the street."", ""A complex building is in the background with people standing around and some riding bikes."", ""Several people, two men with carts and riding bikes on street"", ""Bicyclists and pedicabs go by a large white modern building."", ""Several people pass by a large, white building.""]"
23,19904,19904,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/023_19904.jpg,"[""The man in the tan jacket is taking large steps as he walks past the off white building."", ""A well-dressed, shaven-head young man strides through railings past a restaurant."", ""A man wearing a tan jacket walks into Le Mignon in the afternoon."", ""A man walking across a bridge near a steak restaurant."", ""A bald man walking on a bridge.""]"
