split_id,method_id,run_id,prompt_id,prompt_name,order,gallery_index,image_id,caption
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,0,0,flickr30k_test_028282,"man in green jersey, right hand throwing ball, jumping, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,1,1,flickr30k_test_027821,"woman, right hand near chest, running, adidas vest, ""MARY"" bib, spectators behind, storefront behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,2,2,flickr30k_test_001853,"man, woman, holding bottle, standing on beach, wearing swimwear, seaweed scattered, ocean waves behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,3,3,flickr30k_test_003001,"man in red shirt, right hand touching ground, performing breakdance move, wearing camouflage shorts, red cap, white sneakers, grassy area behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,4,4,flickr30k_test_002781,"group of people, right hand holding phone, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,5,5,flickr30k_test_011831,"group of people, sun behind, standing on mountain ridge, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,6,6,flickr30k_test_027377,"woman, right hand strumming acoustic guitar, performer, sequined dress, blue glowing orbs above, stage lighting."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,7,7,flickr30k_test_005540,"woman, red shirt with ""COALITION"" text, right hand near head, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,8,8,flickr30k_test_024116,"elderly woman, right hand holding brush, writing on pavement, wearing white shirt and gray pants, child in blue dress standing nearby, trees behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,9,9,flickr30k_test_026508,"gymnast, pink ribbon swirling, jumping, performer, bright pink leotard, wooden gymnasium wall behind, digital scoreboard above."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,10,10,flickr30k_test_021945,"firefighter, yellow arrow sign above, right hand near object, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,11,11,flickr30k_test_027978,"biker, pink shirt, leaning right hand on handlebar, bicycle, dirt trail, trees background"
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,12,12,flickr30k_test_010097,"police officer, right hand holding camera, people/dogs/vehicles/vendor stand, blue uniform, storefront behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,13,13,flickr30k_test_008243,"woman, blue uniformed man holding shovel, right hand holding bag, people/dogs/vehicles/vendor stand, leaning against stone wall."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,14,14,flickr30k_test_019855,"two men, one holding phone to ear, sitting on beige couches, back view, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,15,15,flickr30k_test_006953,"girl, holding black umbrella handle, standing on grass, wearing pink shirt and white skirt, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,16,16,flickr30k_test_019883,"man in green raincoat, standing on wooden walkway, right hand near pipe, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,17,17,flickr30k_test_001170,"three children, blue plastic tub, playing with water, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,18,18,flickr30k_test_019044,"two young men, one holding broom, standing on curling sheet, right hand near broom, people/dogs/vehicles/vendor stand."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,19,19,flickr30k_test_022323,"rescue team, SAMBONI POLICE vest, right hand holding hose, people/dogs/vehicles/vendor stand, orange high-visibility jackets, damaged car foreground, emergency vehicle behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,20,20,flickr30k_test_005189,"man, patterned bandana, right hand holding cup, people/dogs/vehicles/vendor stand, striped shirt, jeans, green tent right, RV left."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,21,21,flickr30k_test_014112,"woman, right hand near cart, vendor stand, purple shirt, white skirt, ""SPIRIT"" on skirt, storefront behind."
flickr30k_retrieval_2000_seed2,qwen_textgrad_multimodal,qwen_textgrad_multimodal__flickr30k_retrieval_2000_seed2,textgrad_multimodal,TextGrad Multimodal,22,22,flickr30k_test_020921,"man, white PVC pipe in hands, holding, people/dogs/vehicles/vendor stand, gray tank top, blue jeans, sitting cross-legged on grass, trees behind."
