prompt_id,prompt_name,mean_clip,mean_delta_clip,clip_win_rate,mean_siglip,mean_delta_siglip,siglip_win_rate,mean_caption_len,generic_rate
semantic_with_uncertainty_control,Semantic with uncertainty control,0.33556143939495087,0.01365813910961151,0.8,0.1970510095357895,0.0054073289036750795,0.7,39.7,0.1
people_scene_balance,People-scene balance,0.32908608913421633,0.007182788848876953,0.7,0.18178690746426582,-0.009856773167848587,0.3,52.2,0.2
careful_semantic_caption,Careful semantic caption,0.3273449629545212,0.0054416626691818236,0.8,0.18308205157518387,-0.008561629056930541,0.4,27.5,0.1
caption_for_retrieval,Caption for retrieval,0.3246946960687637,0.0027913957834243774,0.6,0.18662934750318527,-0.005014333128929138,0.5,49.5,0.1
baseline,Baseline,0.32190330028533937,0.0,0.0,0.1916436806321144,0.0,0.0,23.8,0.1
image_specific_caption,Image-specific caption,0.32044394612312316,-0.0014593541622161866,0.6,0.1891919806599617,-0.00245169997215271,0.6,42.3,0.1
foreground_then_background,Foreground then background,0.31963130235672,-0.002271997928619385,0.5,0.17287522479891776,-0.01876845583319664,0.2,54.0,0.2
compact_grounded_detail,Compact grounded detail,0.31947705149650574,-0.002426248788833618,0.4,0.18652456402778625,-0.005119116604328155,0.4,33.0,0.1
msf_concrete_context,MSF concrete context,0.3190679311752319,-0.002835369110107422,0.6,0.19337784945964814,0.001734168827533722,0.5,40.2,0.1
siglip_visible_alignment,SigLIP visible alignment,0.3185406684875488,-0.0033626317977905273,0.3,0.18845969140529634,-0.0031839892268180846,0.5,53.6,0.2
examples_anchor_caption,Examples anchor caption,0.31763561367988585,-0.004267686605453491,0.4,0.19259744882583618,0.0009537681937217713,0.5,27.7,0.1
visual_keyword_sentence,Visual keyword sentence,0.3169464707374573,-0.00495682954788208,0.5,0.18706504851579667,-0.004578632116317749,0.4,33.5,0.1
msf_object_relation,MSF object relation,0.31687710881233216,-0.005026191473007202,0.4,0.195511694252491,0.003868013620376587,0.4,26.9,0.1
salient_details_only,Salient details only,0.3152555912733078,-0.006647709012031555,0.5,0.1940994992852211,0.0024558186531066896,0.4,29.6,0.1
supported_scene_grouping,Supported scene grouping,0.31511883735656737,-0.006784462928771972,0.4,0.18639021515846252,-0.005253465473651886,0.4,51.2,0.1
dominant_subject_or_scene,Dominant subject or scene,0.3128385066986084,-0.009064793586730957,0.3,0.1772758901119232,-0.014367790520191192,0.3,24.3,0.1
grounded_but_not_literal,Grounded but not literal,0.3002788364887238,-0.0216244637966156,0.1,0.17358326464891433,-0.018060415983200073,0.4,50.6,0.1
msf_no_minor_details,MSF no minor details,0.29905826449394224,-0.022845035791397093,0.4,0.17767279148101806,-0.013970889151096344,0.3,53.3,0.2
avoid_generic_social,Avoid generic social,0.297874653339386,-0.02402864694595337,0.3,0.15098498165607452,-0.04065869897603989,0.2,51.5,0.2
specific_event_evidence,Specific event evidence,0.28694058358669283,-0.03496271669864655,0.1,0.14685681015253066,-0.04478687047958374,0.0,50.4,0.1
examples_semantic_caution,Examples semantic caution,0.27014449685812,-0.05175880342721939,0.1,0.1129669763147831,-0.07867670431733131,0.0,26.1,0.0
