cache_hit,cache_key,cache_version,caption,caption_len,caption_model,clip_score,dataset_index,generic_flag,image_id,image_path,max_new_tokens,order,prompt_id,prompt_name,prompt_text,reference_captions,seed,siglip_score,split,temperature,top_p,zerocap_best_idx,zerocap_candidates,baseline_clip_score,baseline_siglip_score,delta_clip,delta_siglip,clip_win,siglip_win
False,7af7c5a9e58a8db112fca95a501a9c537b9f1e8c,clip_siglip_generalization_v1,"A child in a pink shirt walks beside a yellow tricycle under a canopy of lush green trees, with a guardian nearby on a quiet, tree-lined road.",27,Qwen/Qwen3-VL-8B-Instruct,0.3248034119606018,4402,False,4402,results/generalization_100_seed1/samples/images/000_4402.jpg,64,0,baseline,Baseline,Write a caption for this image.,"[""A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side."", ""An old man in a green shirt is walking down a paved path with three small children."", ""A man and three kids walk up a paved hill."", ""A Family going for a walk in a park."", ""A family walks through a park.""]",1,0.1879691183567047,test,0.0,,,,0.3248034119606018,0.1879691183567047,0.0,0.0,False,False
False,23b40f65006d66b774affbed4f67ef2fffc3a673,clip_siglip_generalization_v1,"A young child in a pink shirt walks beside a yellow tricycle with a canopy, while an adult in a green shirt follows behind on a tree-lined, paved path. A banner hangs overhead, and a paved walkway with hexagonal stones runs parallel to the road.",45,Qwen/Qwen3-VL-8B-Instruct,0.3434699177742004,4402,False,4402,results/generalization_100_seed1/samples/images/000_4402.jpg,64,0,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","[""A lady pushes a stroller, behind a child, riding a tricycle, while another child walks along side."", ""An old man in a green shirt is walking down a paved path with three small children."", ""A man and three kids walk up a paved hill."", ""A Family going for a walk in a park."", ""A family walks through a park.""]",1,0.189961090683937,test,0.0,,,,0.3248034119606018,0.1879691183567047,0.018666505813598577,0.0019919723272322776,True,True
False,3e842e59cc21d43bf44f6568a5d6b37ae14a4927,clip_siglip_generalization_v1,"A street vendor in a straw hat and worn jacket tends to his fruit stand, surrounded by baskets of oranges and melons, with a bicycle parked nearby against a weathered orange wall.",32,Qwen/Qwen3-VL-8B-Instruct,0.4022236764431,18651,False,18651,results/generalization_100_seed1/samples/images/001_18651.jpg,64,1,baseline,Baseline,Write a caption for this image.,"[""A man in light brown hat, gray coat and a blue vest with a scooter built with baskets full of oranges"", ""A farmer is taking his oranges to the market to sell."", ""A man is standing with vegetables in barrels."", ""An old foreign man selling oranges."", ""Mexican man peddling fresh fruit.""]",1,0.1965436488389969,test,0.0,,,,0.4022236764431,0.1965436488389969,0.0,0.0,False,False
False,17f7e9539dd9ef4ab08cc1c6b585edcdbf3311f4,clip_siglip_generalization_v1,"An older man wearing a straw hat and a jacket stands beside a bicycle loaded with baskets of oranges, tending to his produce in a sunlit street corner against a weathered orange wall.",33,Qwen/Qwen3-VL-8B-Instruct,0.4086191058158874,18651,False,18651,results/generalization_100_seed1/samples/images/001_18651.jpg,64,1,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","[""A man in light brown hat, gray coat and a blue vest with a scooter built with baskets full of oranges"", ""A farmer is taking his oranges to the market to sell."", ""A man is standing with vegetables in barrels."", ""An old foreign man selling oranges."", ""Mexican man peddling fresh fruit.""]",1,0.2276908606290817,test,0.0,,,,0.4022236764431,0.1965436488389969,0.00639542937278742,0.03114721179008481,True,True
False,eaeb617ecb48862952035e4af5f230568a6a2af1,clip_siglip_generalization_v1,"A vibrant red-haired woman in a bold red sweatshirt laughs joyfully as she playfully tosses a pillow, capturing a moment of spontaneous, carefree fun in a bustling urban setting.",29,Qwen/Qwen3-VL-8B-Instruct,0.3421879708766937,27768,False,27768,results/generalization_100_seed1/samples/images/002_27768.jpg,64,2,baseline,Baseline,Write a caption for this image.,"[""The redheaded girl giggles happily as she swings her pillow at her opponent during a recent pillow fight."", ""A lady in a red shirt with red-hair laugh while throwing a pillow over her left shoulder."", ""A woman with red-hair swings a pillow and laughs."", ""A young redheaded woman laughs at something."", ""A redhead girl in a pillow fight.""]",1,0.2318174839019775,test,0.0,,,,0.3421879708766937,0.2318174839019775,0.0,0.0,False,False
False,c04ab501ae62a37b5cca2b13e2a26d12a2f8651f,clip_siglip_generalization_v1,"A woman with vibrant red, curly hair, wearing a red sweatshirt, is visibly laughing or smiling broadly while holding a light-colored pillow or cushion over her shoulder, seemingly in a playful or celebratory moment. She is outdoors in what appears to be a public space, possibly during a gathering or event, with other people",54,Qwen/Qwen3-VL-8B-Instruct,0.3890605866909027,27768,False,27768,results/generalization_100_seed1/samples/images/002_27768.jpg,64,2,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","[""The redheaded girl giggles happily as she swings her pillow at her opponent during a recent pillow fight."", ""A lady in a red shirt with red-hair laugh while throwing a pillow over her left shoulder."", ""A woman with red-hair swings a pillow and laughs."", ""A young redheaded woman laughs at something."", ""A redhead girl in a pillow fight.""]",1,0.2420001924037933,test,0.0,,,,0.3421879708766937,0.2318174839019775,0.046872615814208984,0.010182708501815796,True,True
False,99d7042278034b289c032b340ddbec34ec81d488,clip_siglip_generalization_v1,"A vendor crouches beside his vibrant stall, skillfully preparing and displaying fresh jackfruit slices on banana leaves, with a whole fruit and colorful produce in the background.",27,Qwen/Qwen3-VL-8B-Instruct,0.3779731392860412,26288,False,26288,results/generalization_100_seed1/samples/images/003_26288.jpg,64,3,baseline,Baseline,Write a caption for this image.,"[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]",1,0.2201389819383621,test,0.0,,,,0.3779731392860412,0.2201389819383621,0.0,0.0,False,False
False,852dfd1d1cf7288211dea0576ae4ef4def9f9469,clip_siglip_generalization_v1,"An older man in a cap and brown shirt crouches on dirt ground beside a vibrant market stall, carefully slicing open a large, green jackfruit with a knife. The fruit’s pale, segmented flesh and scattered seeds lie on a bed of broad green leaves, while a whole jackfruit rests nearby. Behind him,",52,Qwen/Qwen3-VL-8B-Instruct,0.3523388504981994,26288,False,26288,results/generalization_100_seed1/samples/images/003_26288.jpg,64,3,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","[""A local man is crouched on the ground next to some fresh fruit that his has just cut open with the knife in his hand."", ""Black male dressed like he maybe homeless hovering over food."", ""A man cutting and skinning a fruit that has green skin."", ""A man is chopping up food on the ground."", ""A man is carving a melon.""]",1,0.2577790021896362,test,0.0,,,,0.3779731392860412,0.2201389819383621,-0.025634288787841797,0.03764002025127408,False,True
False,d834af1d54625f9fc59510ddfd53cb4f33f2bbe0,clip_siglip_generalization_v1,"Three women in vibrant headscarves sit together on a weathered green bench, their colorful attire contrasting with the bustling, everyday backdrop of a lively street scene.",26,Qwen/Qwen3-VL-8B-Instruct,0.3293625712394714,25027,False,25027,results/generalization_100_seed1/samples/images/004_25027.jpg,64,4,baseline,Baseline,Write a caption for this image.,"[""A woman in turquoise dress and veil, a woman in orange print dress and blue veil, and a woman in yellow dress and violet veil, seated next to one another and viewed from behind."", ""Three women with headscarves and bright clothing take a ride in a rickshaw."", ""Women in Afghanistan who must cover themselves."", ""Three women are riding in a carriage together."", ""Three women are riding in a cart.""]",1,0.2142221480607986,test,0.0,,,,0.3293625712394714,0.2142221480607986,0.0,0.0,False,False
False,df41de6fcc02ce0a8293fa023d899fc9cd353413,clip_siglip_generalization_v1,"Three women, each wearing a brightly colored headscarf — teal, orange with floral patterns, and magenta — are seated closely together on a weathered green metal bench, their backs to the viewer. The woman in the center, in the orange patterned scarf, has her right hand resting on the bench’s back",51,Qwen/Qwen3-VL-8B-Instruct,0.3226252198219299,25027,False,25027,results/generalization_100_seed1/samples/images/004_25027.jpg,64,4,observer_specific_supported,Observer Specific Supported,"Write one specific caption as a careful human observer would: state what is visibly happening, name the important subjects and objects, and include only scene meanings that are clearly supported.","[""A woman in turquoise dress and veil, a woman in orange print dress and blue veil, and a woman in yellow dress and violet veil, seated next to one another and viewed from behind."", ""Three women with headscarves and bright clothing take a ride in a rickshaw."", ""Women in Afghanistan who must cover themselves."", ""Three women are riding in a carriage together."", ""Three women are riding in a cart.""]",1,0.1941365897655487,test,0.0,,,,0.3293625712394714,0.2142221480607986,-0.006737351417541504,-0.020085558295249883,False,False
