split_id,order,gallery_index,image_id,image_relpath,image_path
flickr30k_retrieval_2000_seed2,0,0,flickr30k_test_028282,images/flickr30k/flickr30k_test_028282.jpg,data/images/flickr30k/flickr30k_test_028282.jpg
flickr30k_retrieval_2000_seed2,1,1,flickr30k_test_027821,images/flickr30k/flickr30k_test_027821.jpg,data/images/flickr30k/flickr30k_test_027821.jpg
flickr30k_retrieval_2000_seed2,2,2,flickr30k_test_001853,images/flickr30k/flickr30k_test_001853.jpg,data/images/flickr30k/flickr30k_test_001853.jpg
flickr30k_retrieval_2000_seed2,3,3,flickr30k_test_003001,images/flickr30k/flickr30k_test_003001.jpg,data/images/flickr30k/flickr30k_test_003001.jpg
flickr30k_retrieval_2000_seed2,4,4,flickr30k_test_002781,images/flickr30k/flickr30k_test_002781.jpg,data/images/flickr30k/flickr30k_test_002781.jpg
flickr30k_retrieval_2000_seed2,5,5,flickr30k_test_011831,images/flickr30k/flickr30k_test_011831.jpg,data/images/flickr30k/flickr30k_test_011831.jpg
flickr30k_retrieval_2000_seed2,6,6,flickr30k_test_027377,images/flickr30k/flickr30k_test_027377.jpg,data/images/flickr30k/flickr30k_test_027377.jpg
flickr30k_retrieval_2000_seed2,7,7,flickr30k_test_005540,images/flickr30k/flickr30k_test_005540.jpg,data/images/flickr30k/flickr30k_test_005540.jpg
flickr30k_retrieval_2000_seed2,8,8,flickr30k_test_024116,images/flickr30k/flickr30k_test_024116.jpg,data/images/flickr30k/flickr30k_test_024116.jpg
flickr30k_retrieval_2000_seed2,9,9,flickr30k_test_026508,images/flickr30k/flickr30k_test_026508.jpg,data/images/flickr30k/flickr30k_test_026508.jpg
flickr30k_retrieval_2000_seed2,10,10,flickr30k_test_021945,images/flickr30k/flickr30k_test_021945.jpg,data/images/flickr30k/flickr30k_test_021945.jpg
flickr30k_retrieval_2000_seed2,11,11,flickr30k_test_027978,images/flickr30k/flickr30k_test_027978.jpg,data/images/flickr30k/flickr30k_test_027978.jpg
flickr30k_retrieval_2000_seed2,12,12,flickr30k_test_010097,images/flickr30k/flickr30k_test_010097.jpg,data/images/flickr30k/flickr30k_test_010097.jpg
flickr30k_retrieval_2000_seed2,13,13,flickr30k_test_008243,images/flickr30k/flickr30k_test_008243.jpg,data/images/flickr30k/flickr30k_test_008243.jpg
flickr30k_retrieval_2000_seed2,14,14,flickr30k_test_019855,images/flickr30k/flickr30k_test_019855.jpg,data/images/flickr30k/flickr30k_test_019855.jpg
flickr30k_retrieval_2000_seed2,15,15,flickr30k_test_006953,images/flickr30k/flickr30k_test_006953.jpg,data/images/flickr30k/flickr30k_test_006953.jpg
flickr30k_retrieval_2000_seed2,16,16,flickr30k_test_019883,images/flickr30k/flickr30k_test_019883.jpg,data/images/flickr30k/flickr30k_test_019883.jpg
flickr30k_retrieval_2000_seed2,17,17,flickr30k_test_001170,images/flickr30k/flickr30k_test_001170.jpg,data/images/flickr30k/flickr30k_test_001170.jpg
flickr30k_retrieval_2000_seed2,18,18,flickr30k_test_019044,images/flickr30k/flickr30k_test_019044.jpg,data/images/flickr30k/flickr30k_test_019044.jpg
flickr30k_retrieval_2000_seed2,19,19,flickr30k_test_022323,images/flickr30k/flickr30k_test_022323.jpg,data/images/flickr30k/flickr30k_test_022323.jpg
flickr30k_retrieval_2000_seed2,20,20,flickr30k_test_005189,images/flickr30k/flickr30k_test_005189.jpg,data/images/flickr30k/flickr30k_test_005189.jpg
flickr30k_retrieval_2000_seed2,21,21,flickr30k_test_014112,images/flickr30k/flickr30k_test_014112.jpg,data/images/flickr30k/flickr30k_test_014112.jpg
