scorer,source,prompt_id,prompt_name,n,mean_positive_score,delta_raw_score_vs_baseline,r@1,mrr,mean_margin
CLIP,baseline+best,observer_specific_supported,Observer Specific Supported,2000,0.3290130605921149,0.010088662125170178,0.815,0.8803329790251144,0.0267181575372815
CLIP,ZeroCap weak,qwen_zerocap,Qwen ZeroCap Weak Current,2000,0.3195802668184042,0.0006558683514594765,0.756,0.8385003986660817,0.0214633888229727
CLIP,baseline+best,baseline,Baseline,2000,0.3189243984669447,0.0,0.7895,0.862134655238994,0.0256420021131634
CLIP,TextGrad constrained,textgrad_constrained,TextGrad Constrained,2000,0.3055162987783551,-0.013408099688589581,0.601,0.7108520419754063,0.0086571300253272
CLIP,TextGrad multimodal,textgrad_multimodal,TextGrad Multimodal,2000,0.2809343879297376,-0.03799001053720713,0.3935,0.4979259743703207,-0.0083323153629899
SigLIP,baseline+best,observer_specific_supported,Observer Specific Supported,2000,0.2038177400194108,0.013582206435501593,0.974,0.9848932234432234,0.0732376695275306
SigLIP,ZeroCap weak,qwen_zerocap,Qwen ZeroCap Weak Current,2000,0.1929654080348555,0.0027298744509463013,0.9355,0.961302796205257,0.0690291039368603
SigLIP,baseline+best,baseline,Baseline,2000,0.1902355335839092,0.0,0.9475,0.96756424650229,0.0706687850831076
SigLIP,TextGrad constrained,textgrad_constrained,TextGrad Constrained,2000,0.173925871708896,-0.016309661875013204,0.8785,0.918743620472626,0.0505286461233627
SigLIP,TextGrad multimodal,textgrad_multimodal,TextGrad Multimodal,2000,0.1589070593635551,-0.03132847422035412,0.72,0.784937465318526,0.0284011614755727
