image_id,prompt_id,clip_score,baseline_clip_score,delta_clip,caption
1326,observer_compact_specific,0.3542637825012207,0.3434661626815796,0.010797619819641113,"A man in a sports jersey passionately shouts into a megaphone while holding an umbrella aloft, standing beneath a cluster of directional signs pointing to distant cities, with a historic brick building in the background."
8484,important_not_minor,0.3198460340499878,0.2797788381576538,0.040067195892333984,"The image captures a busy scene inside a supermarket aisle. A group of shoppers is walking through the aisle, with a man in a dark suit and white shirt prominently in the foreground, carrying two blue shopping baskets. He appears to be walking purposefully toward the camera. Behind him, a diverse group of people, including a"
12623,important_subjects_objects,0.3576872050762176,0.3427976071834564,0.014889597892761175,"A bull rider clings tightly to a powerful, bucking black bull as it charges forward in a dusty rodeo arena, kicking up dirt and debris, with spectators and yellow chutes visible in the background."
13268,concrete_scene_evidence,0.4031661748886108,0.3698818981647491,0.033284276723861694,"A young boy in a Revolutionary War-style costume, complete with tricorn hat and red coat, holds a replica rifle while being assisted by another child in a brown jacket, at an outdoor historical reenactment event with military gear and camouflage tents in the background."
13781,visible_happening_scene_context,0.3451250195503235,0.3043276369571686,0.04079738259315491,"A group of friends gathers around a cluttered dining table, laughing and eating a meal together, with plates of food, drinks, and a large green salad bowl visible."
15922,supported_semantic_no_mood,0.3220908045768738,0.3000148236751556,0.022075980901718195,"A man with short dark hair and a beard is seated in the driver’s seat of a red, open-frame, three-wheeled dune buggy or go-kart. He is wearing a green short-sleeved shirt and dark shorts, and is smiling while looking toward the camera. His right hand is on the"
16753,observer_visible_happening,0.3762291967868805,0.3234077095985412,0.05282148718833929,"A smiling Black woman stands in an office environment, wearing a light yellow, oversized surgical-style gown that is covered in numerous handwritten signatures and drawings, suggesting it is a keepsake or commemorative item. Her arms are spread wide, displaying the decorated garment. The setting includes typical office furniture like filing cabinets, a desk,"
24836,visible_happening_subject_object,0.3456231653690338,0.3175976574420929,0.028025507926940918,"A young woman in a black top is visibly sitting on a stone ledge outside a building, talking on her phone while surrounded by a group of people in blue shirts."
27670,observer_no_unsupported_inference,0.3866781890392303,0.3370434939861297,0.049634695053100586,"A person wearing a red shirt and blue jeans is placing raw hamburger patties onto the grates of a black, round charcoal grill situated on a grassy lawn. The grill lid rests nearby on the grass, and a metal tool handle is visible behind the grill. The person’s hands are actively positioning the patties on"
29171,concrete_scene_evidence,0.3211806714534759,0.3007171750068664,0.020463496446609497,"A golfer in a navy blue shirt, beige pants, and a white cap with a logo is mid-swing on a lush green golf course, his club raised high as he follows through, with spectators and tall trees visible in the background."
